timestamp,event_type,equipment_id,description,status_code
2026-02-20T21:25:14.165886,idle,EQ006,IDLE: Equipment EQ006 - Status OK,400
2026-02-20T21:25:14.165886,running,EQ001,RUNNING: Equipment EQ001 - Status OK,200
2026-02-20T21:25:14.165886,shutdown,EQ010,SHUTDOWN: Equipment EQ010 - Status OK,201
2026-02-20T21:25:14.165886,maintenance,EQ006,MAINTENANCE: Equipment EQ006 - Status OK,500
2026-02-20T20:25:14.165886,shutdown,EQ001,SHUTDOWN: Equipment EQ001 - Status OK,500
2026-02-20T20:25:14.165886,running,EQ006,RUNNING: Equipment EQ006 - Status OK,500
2026-02-20T20:25:14.165886,idle,EQ010,IDLE: Equipment EQ010 - Status OK,200
2026-02-20T20:25:14.165886,idle,EQ008,IDLE: Equipment EQ008 - Status OK,201
2026-02-20T19:25:14.165886,maintenance,EQ011,MAINTENANCE: Equipment EQ011 - Status OK,500
2026-02-20T19:25:14.165886,shutdown,EQ002,SHUTDOWN: Equipment EQ002 - ANOMALY DETECTED,200
2026-02-20T19:25:14.165886,idle,EQ002,IDLE: Equipment EQ002 - Status OK,500
2026-02-20T19:25:14.165886,running,EQ014,RUNNING: Equipment EQ014 - Status OK,400
2026-02-20T18:25:14.165886,alert,EQ013,ALERT: Equipment EQ013 - Status OK,201
2026-02-20T18:25:14.165886,startup,EQ012,STARTUP: Equipment EQ012 - Status OK,201
2026-02-20T18:25:14.165886,startup,EQ004,STARTUP: Equipment EQ004 - Status OK,200
2026-02-20T18:25:14.165886,startup,EQ011,STARTUP: Equipment EQ011 - Status OK,200
2026-02-20T17:25:14.165886,shutdown,EQ003,SHUTDOWN: Equipment EQ003 - Status OK,201
2026-02-20T17:25:14.165886,maintenance,EQ004,MAINTENANCE: Equipment EQ004 - Status OK,500
2026-02-20T17:25:14.165886,idle,EQ013,IDLE: Equipment EQ013 - Status OK,500
2026-02-20T17:25:14.165886,alert,EQ012,ALERT: Equipment EQ012 - Status OK,400
2026-02-20T16:25:14.165886,running,EQ007,RUNNING: Equipment EQ007 - Status OK,500
2026-02-20T16:25:14.165886,alert,EQ013,ALERT: Equipment EQ013 - Status OK,200
2026-02-20T16:25:14.165886,running,EQ011,RUNNING: Equipment EQ011 - Status OK,200
2026-02-20T16:25:14.165886,shutdown,EQ001,SHUTDOWN: Equipment EQ001 - Status OK,500
2026-02-20T15:25:14.165886,startup,EQ006,STARTUP: Equipment EQ006 - Status OK,200
2026-02-20T15:25:14.165886,shutdown,EQ003,SHUTDOWN: Equipment EQ003 - Status OK,201
2026-02-20T15:25:14.165886,maintenance,EQ011,MAINTENANCE: Equipment EQ011 - Status OK,201
2026-02-20T15:25:14.165886,maintenance,EQ010,MAINTENANCE: Equipment EQ010 - Status OK,500
2026-02-20T14:25:14.165886,running,EQ007,RUNNING: Equipment EQ007 - ANOMALY DETECTED,201
2026-02-20T14:25:14.165886,idle,EQ010,IDLE: Equipment EQ010 - Status OK,201
2026-02-20T14:25:14.165886,idle,EQ002,IDLE: Equipment EQ002 - Status OK,400
2026-02-20T14:25:14.165886,running,EQ014,RUNNING: Equipment EQ014 - Status OK,400
2026-02-20T13:25:14.165886,maintenance,EQ002,MAINTENANCE: Equipment EQ002 - ANOMALY DETECTED,201
2026-02-20T13:25:14.165886,maintenance,EQ013,MAINTENANCE: Equipment EQ013 - Status OK,500
2026-02-20T13:25:14.165886,maintenance,EQ004,MAINTENANCE: Equipment EQ004 - Status OK,400
2026-02-20T13:25:14.165886,shutdown,EQ001,SHUTDOWN: Equipment EQ001 - Status OK,200
2026-02-20T12:25:14.165886,maintenance,EQ003,MAINTENANCE: Equipment EQ003 - Status OK,200
2026-02-20T12:25:14.165886,alert,EQ013,ALERT: Equipment EQ013 - Status OK,200
2026-02-20T12:25:14.165886,startup,EQ009,STARTUP: Equipment EQ009 - Status OK,500
2026-02-20T12:25:14.165886,maintenance,EQ007,MAINTENANCE: Equipment EQ007 - ANOMALY DETECTED,201
