machine_id,event_time,parameter_name,parameter_value
MACH001,2026-02-08T06:17:06.247411,vibration,1.524
MACH002,2026-02-08T13:17:06.247411,rpm,1251.869
MACH002,2026-02-08T05:17:06.247411,vibration,1.72
MACH001,2026-02-06T21:17:06.247411,pressure,6.465
MACH001,2026-02-07T03:17:06.247411,rpm,1267.777
MACH002,2026-02-08T10:17:06.247411,rpm,1298.82
MACH001,2026-02-07T04:17:06.247411,rpm,1297.555
MACH001,2026-02-07T16:17:06.247411,energy,3257.129
MACH002,2026-02-08T16:17:06.247411,pressure,8.161
MACH001,2026-02-07T03:17:06.247411,temperature,55.622
MACH002,2026-02-08T13:17:06.247411,energy,2780.943
MACH002,2026-02-08T02:17:06.247411,energy,3151.469
MACH002,2026-02-07T06:17:06.247411,vibration,0.102
MACH001,2026-02-07T02:17:06.247411,vibration,0.264
MACH001,2026-02-08T03:17:06.247411,vibration,0.829
MACH001,2026-02-08T06:17:06.247411,pressure,4.985
MACH001,2026-02-07T19:17:06.247411,energy,2971.205
MACH001,2026-02-08T18:17:06.247411,pressure,6.016
MACH001,2026-02-07T13:17:06.247411,energy,2534.905
MACH002,2026-02-08T05:17:06.247411,rpm,1005.577
MACH002,2026-02-08T12:17:06.247411,temperature,56.058
MACH001,2026-02-07T19:17:06.247411,pressure,7.105
MACH002,2026-02-08T05:17:06.247411,temperature,56.084
MACH002,2026-02-07T14:17:06.247411,rpm,1156.739
MACH002,2026-02-07T21:17:06.247411,vibration,0.242
MACH001,2026-02-07T16:17:06.247411,vibration,0.222
MACH002,2026-02-08T00:17:06.247411,energy,2410.127
MACH002,2026-02-07T12:17:06.247411,vibration,0.201
MACH001,2026-02-07T09:17:06.247411,pressure,6.69
MACH001,2026-02-06T22:17:06.247411,temperature,61.997
MACH002,2026-02-07T07:17:06.247411,vibration,0.1
MACH001,2026-02-07T04:17:06.247411,energy,2932.505
MACH002,2026-02-07T21:17:06.247411,rpm,1215.242
MACH002,2026-02-08T14:17:06.247411,temperature,65.228
MACH001,2026-02-07T16:17:06.247411,temperature,66.699
MACH002,2026-02-08T13:17:06.247411,temperature,69.832
MACH002,2026-02-08T09:17:06.247411,temperature,55.991
MACH001,2026-02-07T18:17:06.247411,pressure,5.934
MACH002,2026-02-08T16:17:06.247411,rpm,1134.667
MACH001,2026-02-08T01:17:06.247411,rpm,1310.493
MACH002,2026-02-07T20:17:06.247411,energy,3125.407
MACH001,2026-02-08T15:17:06.247411,pressure,6.014
MACH002,2026-02-07T05:17:06.247411,energy,3180.002
MACH002,2026-02-07T08:17:06.247411,vibration,0.568
MACH002,2026-02-07T08:17:06.247411,energy,2712.131
MACH001,2026-02-08T08:17:06.247411,temperature,70.287
MACH001,2026-02-06T19:17:06.247411,rpm,1157.221
MACH001,2026-02-06T19:17:06.247411,energy,2808.889
MACH001,2026-02-07T02:17:06.247411,energy,2347.779
MACH002,2026-02-07T01:17:06.247411,temperature,68.928
MACH001,2026-02-07T18:17:06.247411,energy,3482.642
MACH002,2026-02-07T21:17:06.247411,energy,3200.194
MACH002,2026-02-07T14:17:06.247411,temperature,55.406
MACH001,2026-02-07T22:17:06.247411,rpm,1321.707
MACH001,2026-02-08T07:17:06.247411,vibration,2.128
MACH002,2026-02-07T12:17:06.247411,pressure,6.846
MACH001,2026-02-08T07:17:06.247411,energy,2340.912
MACH001,2026-02-06T19:17:06.247411,temperature,72.312
MACH001,2026-02-07T18:17:06.247411,temperature,60.047
MACH002,2026-02-07T11:17:06.247411,pressure,6.244
MACH002,2026-02-08T14:17:06.247411,pressure,5.848
MACH001,2026-02-08T18:17:06.247411,vibration,0.352
MACH001,2026-02-07T02:17:06.247411,pressure,7.557
MACH001,2026-02-08T07:17:06.247411,pressure,6.165
MACH002,2026-02-07T10:17:06.247411,pressure,6.829
MACH001,2026-02-06T23:17:06.247411,pressure,6.876
MACH001,2026-02-07T13:17:06.247411,vibration,0.653
MACH001,2026-02-08T08:17:06.247411,rpm,1305.38
MACH001,2026-02-07T23:17:06.247411,rpm,1090.606
MACH001,2026-02-06T18:17:06.247411,temperature,72.896
MACH002,2026-02-07T14:17:06.247411,pressure,6.473
MACH002,2026-02-08T11:17:06.247411,vibration,0.462
MACH001,2026-02-07T04:17:06.247411,temperature,63.964
MACH002,2026-02-07T20:17:06.247411,pressure,5.614
MACH002,2026-02-07T05:17:06.247411,vibration,0.884
MACH002,2026-02-08T00:17:06.247411,temperature,70.247
MACH002,2026-02-07T08:17:06.247411,pressure,7.542
MACH001,2026-02-06T17:17:06.247411,vibration,1.21
MACH002,2026-02-08T14:17:06.247411,rpm,1282.877
MACH002,2026-02-07T10:17:06.247411,vibration,1.302
MACH002,2026-02-08T11:17:06.247411,temperature,65.342
MACH002,2026-02-07T07:17:06.247411,pressure,5.656
MACH001,2026-02-06T20:17:06.247411,rpm,1177.422
MACH002,2026-02-07T20:17:06.247411,temperature,63.059
MACH001,2026-02-07T22:17:06.247411,energy,3047.056
MACH001,2026-02-08T03:17:06.247411,energy,3140.048
MACH002,2026-02-08T10:17:06.247411,temperature,67.575
MACH002,2026-02-07T11:17:06.247411,temperature,68.62
MACH002,2026-02-07T11:17:06.247411,energy,2260.244
MACH002,2026-02-08T11:17:06.247411,energy,2319.947
MACH001,2026-02-07T19:17:06.247411,vibration,0.343
MACH001,2026-02-07T03:17:06.247411,energy,3172.234
MACH002,2026-02-07T05:17:06.247411,temperature,63.771
MACH002,2026-02-08T02:17:06.247411,pressure,5.746
MACH001,2026-02-06T23:17:06.247411,temperature,63.159
MACH002,2026-02-07T06:17:06.247411,rpm,1279.56
MACH002,2026-02-08T02:17:06.247411,rpm,1176.041
MACH002,2026-02-08T14:17:06.247411,vibration,0.622
MACH002,2026-02-07T01:17:06.247411,rpm,1265.919
MACH002,2026-02-07T10:17:06.247411,energy,3348.745
MACH002,2026-02-07T07:17:06.247411,temperature,61.101
MACH001,2026-02-07T17:17:06.247411,temperature,68.639
MACH001,2026-02-07T23:17:06.247411,vibration,0.373
MACH002,2026-02-08T09:17:06.247411,rpm,1056.41
MACH001,2026-02-08T06:17:06.247411,rpm,1148.703
MACH002,2026-02-07T21:17:06.247411,pressure,6.878
MACH002,2026-02-07T00:17:06.247411,vibration,0.164
MACH002,2026-02-08T02:17:06.247411,temperature,63.773
MACH001,2026-02-08T08:17:06.247411,energy,3233.22
MACH001,2026-02-06T17:17:06.247411,rpm,1414.166
MACH002,2026-02-07T06:17:06.247411,temperature,64.64
MACH001,2026-02-06T22:17:06.247411,pressure,6.208
MACH001,2026-02-07T02:17:06.247411,rpm,1213.443
MACH001,2026-02-07T17:17:06.247411,rpm,1221.694
MACH001,2026-02-07T19:17:06.247411,temperature,69.438
MACH002,2026-02-07T00:17:06.247411,rpm,1217.137
MACH002,2026-02-08T11:17:06.247411,rpm,1320.138
MACH001,2026-02-08T07:17:06.247411,rpm,1338.96
MACH001,2026-02-06T18:17:06.247411,pressure,7.267
MACH001,2026-02-07T13:17:06.247411,pressure,5.93
MACH002,2026-02-08T00:17:06.247411,vibration,0.203
MACH002,2026-02-07T14:17:06.247411,vibration,0.268
MACH002,2026-02-08T05:17:06.247411,pressure,6.257
MACH002,2026-02-08T09:17:06.247411,pressure,6.968
