date,equipment_number,machine_name,machine_description,user_state,downtime,why1
2026-01-23T03:17:06.260222,EQ4430,MACHINE_4,Production Unit A,STOPPED,6.95,Mechanical Failure
2026-01-24T03:17:06.260222,EQ5435,MACHINE_4,Production Unit B,RUNNING,4.3,Software Bug
2026-01-25T03:17:06.260222,EQ4760,MACHINE_11,Production Unit C,STOPPED,5.26,Maintenance
2026-01-26T03:17:06.260222,EQ3050,MACHINE_8,Production Unit D,RUNNING,10.56,Mechanical Failure
2026-01-27T03:17:06.260222,EQ2165,MACHINE_4,Production Unit E,STOPPED,0.38,Software Bug
2026-01-28T03:17:06.260222,EQ9567,MACHINE_13,Production Unit F,RUL,1.01,Software Bug
2026-01-29T03:17:06.260222,EQ3033,MACHINE_6,Production Unit G,RUNNING,2.84,Mechanical Failure
2026-01-30T03:17:06.260222,EQ7467,MACHINE_5,Production Unit H,RUNNING,2.38,Unknown
2026-01-31T03:17:06.260222,EQ1145,MACHINE_3,Production Unit I,RUNNING,0.33,Software Bug
2026-02-01T03:17:06.260222,EQ5388,MACHINE_13,Production Unit J,RUL,3.38,Unknown
2026-02-02T03:17:06.260222,EQ8832,MACHINE_14,Production Unit A,RUL,0.51,Mechanical Failure
2026-02-03T03:17:06.260222,EQ9623,MACHINE_10,Production Unit B,RUL,0.51,Unknown
2026-02-04T03:17:06.260222,EQ9896,MACHINE_11,Production Unit C,RUL,1.54,Electrical Issue
2026-02-05T03:17:06.260222,EQ9173,MACHINE_2,Production Unit D,RUL,1.8,Maintenance
2026-02-06T03:17:06.260222,EQ3632,MACHINE_9,Production Unit E,RUNNING,1.74,Software Bug
2026-02-07T03:17:06.260222,EQ5494,MACHINE_10,Production Unit F,RUL,0.19,Maintenance
2026-02-08T03:17:06.260222,EQ9056,MACHINE_9,Production Unit G,RUNNING,4.2,Unknown
2026-02-09T03:17:06.260222,EQ8511,MACHINE_1,Production Unit H,RUL,0.62,Software Bug
2026-02-10T03:17:06.260222,EQ2828,MACHINE_10,Production Unit I,STOPPED,0.28,Unknown
2026-02-11T03:17:06.260222,EQ5805,MACHINE_3,Production Unit J,RUNNING,4.39,Electrical Issue
2026-02-12T03:17:06.260222,EQ1806,MACHINE_8,Production Unit A,STOPPED,6.23,Mechanical Failure
2026-02-13T03:17:06.260222,EQ8486,MACHINE_6,Production Unit B,RUNNING,3.96,Software Bug
2026-02-14T03:17:06.260222,EQ9202,MACHINE_5,Production Unit C,STOPPED,3.32,Electrical Issue
2026-02-15T03:17:06.260222,EQ2868,MACHINE_5,Production Unit D,RUL,2.13,Electrical Issue
2026-02-16T03:17:06.260222,EQ8878,MACHINE_6,Production Unit E,RUL,1.6,Software Bug
