tag_id,event_time,reader_id,event_type,location,signal_strength
TAG1523,2026-02-20T19:45:14.157788,READER3,detection,zone_c,-47.8
TAG3393,2026-02-20T19:46:14.157788,READER4,detection,zone_c,-81.7
TAG3593,2026-02-20T19:47:14.157788,READER1,detection,zone_c,-67.7
TAG8240,2026-02-20T19:48:14.157788,READER3,read,zone_a,-66.2
TAG7937,2026-02-20T19:49:14.157788,READER3,read,zone_c,-34.3
TAG7190,2026-02-20T19:50:14.157788,READER1,detection,zone_a,-100.0
TAG6240,2026-02-20T19:51:14.157788,READER2,detection,zone_a,-51.9
TAG7493,2026-02-20T19:52:14.157788,READER2,detection,zone_a,-78.8
TAG3878,2026-02-20T19:53:14.157788,READER4,read,zone_b,-58.6
TAG5143,2026-02-20T19:54:14.157788,READER2,detection,zone_a,-50.2
TAG4644,2026-02-20T19:55:14.157788,READER1,detection,zone_a,-51.4
TAG5432,2026-02-20T19:56:14.157788,READER3,scan,zone_b,-53.8
TAG2276,2026-02-20T19:57:14.157788,READER2,scan,zone_a,-59.9
TAG6811,2026-02-20T19:58:14.157788,READER4,read,zone_c,-59.4
TAG1302,2026-02-20T19:59:14.157788,READER2,detection,zone_c,-76.9
TAG1638,2026-02-20T20:00:14.157788,READER1,detection,zone_a,-69.0
TAG1055,2026-02-20T20:01:14.157788,READER4,scan,zone_b,-57.7
TAG9717,2026-02-20T20:02:14.157788,READER2,read,zone_c,-67.2
TAG9150,2026-02-20T20:03:14.157788,READER4,scan,zone_b,-53.1
TAG3125,2026-02-20T20:04:14.157788,READER1,scan,zone_b,-55.3
TAG1364,2026-02-20T20:05:14.157788,READER3,scan,zone_c,-46.3
TAG7809,2026-02-20T20:06:14.157788,READER1,scan,zone_b,-50.4
TAG5621,2026-02-20T20:07:14.157788,READER1,detection,zone_c,-57.7
TAG6126,2026-02-20T20:08:14.157788,READER1,detection,zone_b,-52.5
TAG6122,2026-02-20T20:09:14.157788,READER1,scan,zone_c,-49.9
TAG2646,2026-02-20T20:10:14.157788,READER3,read,zone_a,-65.1
TAG1918,2026-02-20T20:11:14.157788,READER3,read,zone_c,-63.3
TAG3797,2026-02-20T20:12:14.157788,READER4,read,zone_c,-61.0
TAG7506,2026-02-20T20:13:14.157788,READER2,read,zone_c,-64.8
TAG6870,2026-02-20T20:14:14.157788,READER3,scan,zone_c,-49.8
TAG2531,2026-02-20T20:15:14.157788,READER3,detection,zone_b,-66.3
TAG9172,2026-02-20T20:16:14.157788,READER2,read,zone_a,-47.5
TAG4345,2026-02-20T20:17:14.157788,READER3,scan,zone_c,-63.7
TAG8673,2026-02-20T20:18:14.157788,READER1,read,zone_b,-55.3
TAG7949,2026-02-20T20:19:14.157788,READER1,read,zone_a,-58.3
TAG7882,2026-02-20T20:20:14.157788,READER2,scan,zone_a,-69.8
TAG2906,2026-02-20T20:21:14.157788,READER4,detection,zone_a,-60.2
TAG4086,2026-02-20T20:22:14.157788,READER4,detection,zone_a,-56.7
TAG9152,2026-02-20T20:23:14.157788,READER2,scan,zone_c,-60.6
TAG6750,2026-02-20T20:24:14.157788,READER2,detection,zone_c,-73.4
TAG9905,2026-02-20T20:25:14.157788,READER1,scan,zone_b,-43.0
TAG2062,2026-02-20T20:26:14.157788,READER4,scan,zone_b,-59.1
TAG2976,2026-02-20T20:27:14.157788,READER3,scan,zone_b,-100.0
TAG2296,2026-02-20T20:28:14.157788,READER1,detection,zone_a,-43.8
TAG7229,2026-02-20T20:29:14.157788,READER2,scan,zone_a,-53.8
TAG8641,2026-02-20T20:30:14.157788,READER4,read,zone_c,-72.0
TAG1125,2026-02-20T20:31:14.157788,READER3,detection,zone_a,-70.4
TAG5632,2026-02-20T20:32:14.157788,READER3,detection,zone_a,-62.2
TAG7288,2026-02-20T20:33:14.157788,READER1,detection,zone_a,-57.0
TAG4596,2026-02-20T20:34:14.157788,READER4,detection,zone_b,-53.8
TAG7168,2026-02-20T20:35:14.157788,READER4,read,zone_b,-50.5
TAG8561,2026-02-20T20:36:14.157788,READER2,detection,zone_c,-54.6
TAG9258,2026-02-20T20:37:14.157788,READER4,detection,zone_a,-46.5
TAG1232,2026-02-20T20:38:14.157788,READER4,scan,zone_a,-58.7
TAG7371,2026-02-20T20:39:14.157788,READER1,detection,zone_c,-67.6
TAG5206,2026-02-20T20:40:14.157788,READER4,read,zone_a,-60.0
TAG8943,2026-02-20T20:41:14.157788,READER3,read,zone_a,-60.7
TAG7891,2026-02-20T20:42:14.157788,READER1,read,zone_b,-85.8
TAG7738,2026-02-20T20:43:14.157788,READER1,read,zone_c,-65.6
